PLAYER,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI
Quincy Acy,Tor,SF,23,7,8.5,16.8,14.7,0.102,8,0.625,9,0.444,5,0.4,0.542,2.7,2.1,14.6,0.6,10.5,0.57,0.43,7.1
Quincy Acy,Sac,F,23,3,17.6,34.2,6.3,0,1,1,6,0.833,1,0,0.739,3.7,3.3,10.9,0.3,2.9,0.33,1,3.5
Steven Adams,Okc,C,20,24,15.7,32.3,12.3,0.207,46,0.652,64,0.5,0,0,0.558,3.9,4.7,16,0.8,7.4,0.42,0.92,6.2
Jeff Adrien,Cha,PF,27,17,12.4,25.7,9.8,0.066,20,0.6,34,0.529,0,0,0.561,2.8,4.3,19.2,0.2,3.1,0.29,0.71,4.3
Arron Afflalo,Orl,SG,28,25,37.4,77,24.7,0.102,126,0.873,272,0.493,130,0.415,0.59,21.6,4.7,7,4,19.2,0.68,0.04,7.9
LaMarcus Aldridge,Por,PF,28,27,36.8,76.1,28.6,0.078,138,0.79,540,0.481,3,0,0.521,23.3,11.1,16.5,2.8,13.4,1.15,0.89,9.8
Lavoy Allen,Phi,PF,24,26,19.4,39.5,13.2,0.153,23,0.609,120,0.467,3,0.333,0.485,5,5.6,15.6,0.8,6.4,0.5,0.5,5.8
Ray Allen,Mia,SG,38,22,25,52,18.2,0.147,38,0.921,79,0.532,84,0.381,0.598,9.8,2.7,6.9,2.3,13.7,0.95,0.14,6.3
Tony Allen,Mem,SG,32,20,25.8,53.2,20.5,0.162,47,0.702,148,0.554,23,0.217,0.553,10.6,4.2,9.5,2.2,14.3,2.15,0.5,7.1
Al-Farouq Aminu,Nor,SF,23,23,24.3,49.7,14.4,0.126,41,0.537,133,0.496,8,0.125,0.494,6.8,6.8,15.7,1.5,9.3,1.22,0.61,6.8
Louis Amundson,Nor,PF,31,16,10.7,21.7,14.3,0.252,24,0.25,31,0.484,0,0,0.433,2.3,3.4,17.7,0.4,5,0.56,0.63,5.5
Chris Andersen,Mia,C,35,24,17.7,37,15.2,0.139,52,0.673,92,0.63,3,0.333,0.653,6.4,4.3,15.3,0.4,3.6,0.38,1.25,5
Alan Anderson,Bro,SF,31,25,25.2,52,14.9,0.084,30,0.767,85,0.471,88,0.364,0.534,8,2.7,6.2,1.2,7.5,0.88,0.12,4.7
James Anderson,Phi,SG,24,26,29.7,60.4,16,0.127,43,0.698,122,0.557,113,0.319,0.54,10.5,3.3,6.1,1.8,9.2,0.81,0.38,5.3
